Commit Log for Fri Mar 22 06:11:58 2019


Upgraded the following packages:
apt (1.8.0~rc4) to 1.8.0
apt-transport-https (1.8.0~rc4) to 1.8.0
apt-utils (1.8.0~rc4) to 1.8.0
coinor-libcoinmp1v5 (1.8.3-2) to 1.8.3-2+b11
gdebi (0.9.5.7+nmu2) to 0.9.5.7+nmu3
gdebi-core (0.9.5.7+nmu2) to 0.9.5.7+nmu3
gir1.2-gdkpixbuf-2.0 (2.38.0+dfsg-7) to 2.38.1+dfsg-1
gir1.2-packagekitglib-1.0 (1.1.12-1) to 1.1.12-5
grub-common (2.02+dfsg1-12) to 2.02+dfsg1-13
grub-efi-amd64 (2.02+dfsg1-12) to 2.02+dfsg1-13
grub-efi-amd64-bin (2.02+dfsg1-12) to 2.02+dfsg1-13
grub-pc-bin (2.02+dfsg1-12) to 2.02+dfsg1-13
grub2-common (2.02+dfsg1-12) to 2.02+dfsg1-13
keyutils (1.6-2) to 1.6-6
libapt-inst2.0 (1.8.0~rc4) to 1.8.0
libapt-pkg5.0 (1.8.0~rc4) to 1.8.0
libcairo-gobject2 (1.16.0-3) to 1.16.0-4
libcairo2 (1.16.0-3) to 1.16.0-4
libdouble-conversion1 (3.1.0-2) to 3.1.0-3
libgdk-pixbuf2.0-0 (2.38.0+dfsg-7) to 2.38.1+dfsg-1
libgdk-pixbuf2.0-bin (2.38.0+dfsg-7) to 2.38.1+dfsg-1
libgdk-pixbuf2.0-common (2.38.0+dfsg-7) to 2.38.1+dfsg-1
libglu1-mesa (9.0.0-2.1) to 9.0.0-2.1+b2
libid3tag0 (0.15.1b-13) to 0.15.1b-14
libkeyutils1 (1.6-2) to 1.6-6
liblastfm1 (1.0.9-1) to 1.0.9-1+b11
libmad0 (0.15.1b-9) to 0.15.1b-10
libmailutils5 (1:3.5-2) to 1:3.5-3
libpackagekit-glib2-18 (1.1.12-1) to 1.1.12-5
libpcre16-3 (2:8.39-11) to 2:8.39-12
libpcre3 (2:8.39-11) to 2:8.39-12
libpcre3-dev (2:8.39-11) to 2:8.39-12
libpcre32-3 (2:8.39-11) to 2:8.39-12
libpcrecpp0v5 (2:8.39-11) to 2:8.39-12
libqmi-glib5 (1.22.0-1.1) to 1.22.0-1.2
libqmi-proxy (1.22.0-1.1) to 1.22.0-1.2
libreadline5 (5.2+dfsg-3+b2) to 5.2+dfsg-3+b13
libsndfile1 (1.0.28-5) to 1.0.28-6
libxdamage1 (1:1.1.4-3) to 1:1.1.4-3+b2
libxkbfile1 (1:1.0.9-2) to 1:1.0.9-2+b11
libxmu6 (2:1.1.2-2) to 2:1.1.2-2+b2
libxmuu1 (2:1.1.2-2) to 2:1.1.2-2+b2
libxt6 (1:1.1.5-1) to 1:1.1.5-1+b2
lsb-base (10.2018112800) to 10.2019031300
lsb-release (10.2018112800) to 10.2019031300
mailutils (1:3.5-2) to 1:3.5-3
mailutils-common (1:3.5-2) to 1:3.5-3
packagekit (1.1.12-1) to 1.1.12-5
packagekit-tools (1.1.12-1) to 1.1.12-5
python-apt-common (1.8.3) to 1.8.4
python-lxml (4.3.1-1) to 4.3.2-1
python3-apt (1.8.3) to 1.8.4
rsync (3.1.3-5) to 3.1.3-6
